#Transcript position	Transcript coverage profile
0.0	1.360915383383058
1.0	3.798490749590097
2.0	6.053643747542331
3.0	8.808776081525357
4.0	10.8560648550066
5.0	13.75223708481873
6.0	16.668872191898792
7.0	18.78153345367664
8.0	20.012260988647228
9.0	20.93002404373181
10.0	20.47077089984024
11.0	20.99755105827694
12.0	21.958030996517998
13.0	21.85963629405413
14.0	20.125044462525285
15.0	18.222693165809535
16.0	16.56738705883164
17.0	15.96865166503391
18.0	16.127738008550956
19.0	16.39621911813511
20.0	16.040541620869025
21.0	15.21755399810483
22.0	14.554789828412869
23.0	13.09484362811789
24.0	12.164602237750877
25.0	12.322089879047462
26.0	12.940221494490702
27.0	12.935667942769411
28.0	13.990012625868076
29.0	15.98278752817371
30.0	17.211258008014017
31.0	18.18469183929558
32.0	18.42254404392193
33.0	18.783650103081257
34.0	18.251025583647973
35.0	17.454495377590774
36.0	16.962796720357858
37.0	17.01872514713593
38.0	16.059243970760427
39.0	15.360620717834182
40.0	14.635736390431674
41.0	14.33666437398739
42.0	14.303951220959178
43.0	13.922119042439498
44.0	13.542208084976604
45.0	14.356038068768976
46.0	15.240764850133738
47.0	15.372249190968214
48.0	14.944061167734407
49.0	14.356960193277365
50.0	14.51513914861345
51.0	14.583762230202908
52.0	15.404779612284692
53.0	16.625237438536942
54.0	17.55047307198459
55.0	18.181890576370378
56.0	19.252481102515496
57.0	19.477720677519585
58.0	18.336469332136353
59.0	17.669028114724938
60.0	18.097170021466212
61.0	17.369088594104042
62.0	16.238453100624774
63.0	15.687135412442323
64.0	15.52142104724714
65.0	16.013936993665606
66.0	16.800397051576766
67.0	16.611993987345144
68.0	16.497702483427936
69.0	16.687127070574725
70.0	16.525900602409955
71.0	16.842486484348186
72.0	18.322070513884682
73.0	19.73729379229551
74.0	21.060839485320667
75.0	21.73917224837385
76.0	21.532100644844395
77.0	20.513685630048666
78.0	20.46227544721739
79.0	21.829181665375323
80.0	21.866674007933504
81.0	20.309873824859668
82.0	20.00056045018505
83.0	19.82617857683372
84.0	18.819026762204217
85.0	18.044182062703307
86.0	16.368681066720562
87.0	16.189936251578985
88.0	15.05193501053894
89.0	13.027281834424317
90.0	12.118798875303352
91.0	11.283162347469831
92.0	9.089730304534895
93.0	5.718888943564426
94.0	4.01100967680132
95.0	2.397824933652162
96.0	1.3606509528131019
97.0	0.523430174509688
98.0	0.07406915150015912
99.0	0.0047111872880042935
