#Transcript position	Transcript coverage profile
0.0	1.3609153833830585
1.0	3.7984907495900946
2.0	6.053643747542331
3.0	8.808776081525357
4.0	10.856064855006602
5.0	13.752237084818729
6.0	16.668872191898785
7.0	18.78153345367664
8.0	20.012260988647224
9.0	20.93002404373181
10.0	20.470770899840236
11.0	20.997551058276937
12.0	21.958030996517994
13.0	21.859636294054145
14.0	20.125044462525295
15.0	18.222693165809567
16.0	16.567387058831653
17.0	15.968651665033905
18.0	16.12773800855095
19.0	16.396219118135118
20.0	16.04054162086902
21.0	15.217553998104814
22.0	14.554789828412858
23.0	13.09484362811788
24.0	12.164602237750868
25.0	12.32208987904745
26.0	12.940221494490693
27.0	12.935667942769403
28.0	13.990012625868069
29.0	15.982787528173695
30.0	17.211258008014
31.0	18.18469183929559
32.0	18.422544043921924
33.0	18.78365010308125
34.0	18.25102558364797
35.0	17.45449537759079
36.0	16.96279672035786
37.0	17.01872514713593
38.0	16.059243970760416
39.0	15.360620717834173
40.0	14.63573639043166
41.0	14.336664373987388
42.0	14.303951220959178
43.0	13.922119042439496
44.0	13.5422080849766
45.0	14.356038068768973
46.0	15.240764850133738
47.0	15.372249190968214
48.0	14.944061167734398
49.0	14.356960193277358
50.0	14.515139148613443
51.0	14.583762230202897
52.0	15.404779612284687
53.0	16.62523743853694
54.0	17.550473071984584
55.0	18.18189057637037
56.0	19.25248110251551
57.0	19.477720677519596
58.0	18.336469332136364
59.0	17.669028114724963
60.0	18.097170021466216
61.0	17.369088594104046
62.0	16.238453100624778
63.0	15.687135412442325
64.0	15.521421047247136
65.0	16.0139369936656
66.0	16.800397051576763
67.0	16.611993987345137
68.0	16.49770248342793
69.0	16.68712707057472
70.0	16.525900602409973
71.0	16.842486484348193
72.0	18.3220705138847
73.0	19.737293792295517
74.0	21.060839485320678
75.0	21.739172248373848
76.0	21.53210064484441
77.0	20.513685630048652
78.0	20.462275447217408
79.0	21.829181665375337
80.0	21.866674007933526
81.0	20.30987382485968
82.0	20.00056045018506
83.0	19.826178576833737
84.0	18.819026762204235
85.0	18.04418206270331
86.0	16.368681066720566
87.0	16.189936251578985
88.0	15.051935010538932
89.0	13.027281834424313
90.0	12.118798875303352
91.0	11.28316234746983
92.0	9.089730304534891
93.0	5.718888943564426
94.0	4.011009676801318
95.0	2.397824933652162
96.0	1.3606509528131019
97.0	0.5234301745096882
98.0	0.07406915150015914
99.0	0.004711187288004293
