#Transcript position	Transcript coverage profile
0.0	4.294845952071764
1.0	11.39184359579308
2.0	16.300480719792343
3.0	20.781671190874004
4.0	24.99845045196365
5.0	29.853570800440153
6.0	32.957568945782675
7.0	34.40154926215083
8.0	35.01288044121614
9.0	37.06869015700073
10.0	36.78996373102479
11.0	37.31000951092973
12.0	38.48808773007714
13.0	37.68924616218264
14.0	35.91515886438846
15.0	33.96054504785086
16.0	30.956893951751894
17.0	29.65722752529649
18.0	29.83161873013267
19.0	29.085913714444487
20.0	28.078876029929667
21.0	26.827523707042484
22.0	26.382092268253814
23.0	25.25248971251495
24.0	25.041649768142218
25.0	25.658732445839156
26.0	26.91306211066444
27.0	27.45526100491005
28.0	28.888675525043748
29.0	30.639048756307503
30.0	32.27931821885145
31.0	32.98318163186101
32.0	33.680790609024534
33.0	34.64158667398797
34.0	34.549154524948705
35.0	33.77819711871781
36.0	32.78060471169155
37.0	32.963111697554965
38.0	31.399690756803825
39.0	31.123890990938317
40.0	30.409206495527503
41.0	29.13890559985539
42.0	29.092160957687852
43.0	29.352950193385958
44.0	29.357035376979244
45.0	30.071449367380602
46.0	31.581851436764207
47.0	32.47267980632539
48.0	31.871350703317486
49.0	32.02977805240745
50.0	33.47717740291606
51.0	33.8569242474965
52.0	34.35277019312029
53.0	36.00326976817671
54.0	37.986061782772616
55.0	39.328874038171406
56.0	41.173858534682296
57.0	42.26262896918541
58.0	41.40375213187568
59.0	40.17706145336055
60.0	39.71553478627895
61.0	36.54792627731635
62.0	34.624700814085585
63.0	33.54732635352633
64.0	32.46435242102058
65.0	33.4571994329206
66.0	34.828810881007485
67.0	34.03127828260337
68.0	34.24877399366277
69.0	34.362793808855656
70.0	34.45025006987245
71.0	36.11105051741985
72.0	37.75411260827339
73.0	39.30558281657178
74.0	41.39147993164311
75.0	41.87500901359425
76.0	40.125762679743616
77.0	38.30965856982603
78.0	36.88362115601894
79.0	38.11851841413697
80.0	39.40264265619866
81.0	36.866682759803666
82.0	36.0429533252216
83.0	35.94022886818129
84.0	34.40805534108276
85.0	32.824030793443
86.0	30.96652511970416
87.0	30.747160055576337
88.0	28.94509397493583
89.0	26.090200164896604
90.0	23.565581405870237
91.0	20.70073600469088
92.0	15.93669353081306
93.0	10.569327481162373
94.0	7.227764245479822
95.0	4.773175471603928
96.0	2.835711706449959
97.0	1.2179656520753799
98.0	0.4451549682584961
99.0	0.07582463895246902
