#Transcript position	Transcript coverage profile
0.0	1.343223049242069
1.0	3.724864108059249
2.0	5.82285917372422
3.0	8.820845446642078
4.0	11.193452076019703
5.0	14.37674531209328
6.0	17.654656886286112
7.0	19.65878829642319
8.0	20.380045663560225
9.0	21.269986149874153
10.0	20.822031461231973
11.0	21.273406398206944
12.0	22.012140836856737
13.0	21.704841417153325
14.0	20.349392868101482
15.0	18.204059550545438
16.0	16.28204351099531
17.0	16.155986295743133
18.0	16.53742775578272
19.0	17.199315472893254
20.0	16.6473713464038
21.0	15.750251978134154
22.0	15.141389127139728
23.0	13.413399577885908
24.0	12.713564128793529
25.0	12.784670127015278
26.0	13.340765994307002
27.0	13.515590490815253
28.0	14.670550207212116
29.0	16.559133470368124
30.0	17.902354051628258
31.0	18.750257014610224
32.0	18.711988518478478
33.0	18.864282913036593
34.0	18.16014818941549
35.0	17.076639417845975
36.0	16.546364397228015
37.0	16.980958278995246
38.0	16.20547521278383
39.0	15.518804156451836
40.0	14.865318181546993
41.0	14.657386190355453
42.0	14.669283139381253
43.0	13.978862869031637
44.0	13.497846629839406
45.0	14.534792412562508
46.0	15.518582550594232
47.0	15.619661593941428
48.0	14.981809190188127
49.0	14.470988559897133
50.0	14.84628798242303
51.0	14.987865859201714
52.0	15.969274662953126
53.0	17.501284178209048
54.0	18.569368013831255
55.0	19.029933800270403
56.0	19.835348816554472
57.0	19.72045255462613
58.0	18.41776477509002
59.0	17.827201700208985
60.0	18.292434324945734
61.0	17.303004182638972
62.0	16.384026520502843
63.0	16.235568296929355
64.0	15.957507474379304
65.0	16.285483010301835
66.0	17.327604073973667
67.0	17.488232828278047
68.0	17.203281101950715
69.0	17.11036895199522
70.0	16.990923751620944
71.0	17.251668986005736
72.0	18.580501572863092
73.0	20.290676101948073
74.0	22.155234810488324
75.0	22.79351266145893
76.0	22.148725247615026
77.0	21.177511871747058
78.0	21.27405801945927
79.0	22.698211363107333
80.0	22.65431190880131
81.0	20.949026935471085
82.0	20.574287061760423
83.0	20.453677346037864
84.0	19.182768425312464
85.0	18.46961467822022
86.0	16.45898541580108
87.0	16.39588215399856
88.0	14.898925441924613
89.0	12.576361752090039
90.0	11.515293765447039
91.0	10.4682007476783
92.0	8.113563378539922
93.0	5.058162367406416
94.0	3.712720074219395
95.0	2.393008586184642
96.0	1.3476689381976477
97.0	0.4936798573664826
98.0	0.11284414862138697
99.0	0.003416208009109888
