#Transcript position	Transcript coverage profile
0.0	1.3432230492420685
1.0	3.724864108059249
2.0	5.822859173724219
3.0	8.820845446642075
4.0	11.193452076019698
5.0	14.376745312093275
6.0	17.654656886286098
7.0	19.658788296423204
8.0	20.380045663560242
9.0	21.269986149874164
10.0	20.822031461231983
11.0	21.27340639820695
12.0	22.012140836856727
13.0	21.704841417153332
14.0	20.349392868101464
15.0	18.20405955054543
16.0	16.282043510995305
17.0	16.155986295743123
18.0	16.53742775578271
19.0	17.19931547289324
20.0	16.647371346403787
21.0	15.750251978134147
22.0	15.141389127139718
23.0	13.4133995778859
24.0	12.713564128793516
25.0	12.784670127015271
26.0	13.34076599430699
27.0	13.515590490815242
28.0	14.670550207212106
29.0	16.55913347036813
30.0	17.90235405162826
31.0	18.750257014610213
32.0	18.711988518478496
33.0	18.864282913036618
34.0	18.160148189415494
35.0	17.076639417845975
36.0	16.546364397228018
37.0	16.98095827899525
38.0	16.20547521278384
39.0	15.518804156451827
40.0	14.86531818154699
41.0	14.65738619035545
42.0	14.669283139381255
43.0	13.97886286903163
44.0	13.497846629839408
45.0	14.534792412562513
46.0	15.518582550594225
47.0	15.619661593941427
48.0	14.981809190188132
49.0	14.47098855989713
50.0	14.846287982423028
51.0	14.987865859201712
52.0	15.969274662953126
53.0	17.501284178209072
54.0	18.56936801383128
55.0	19.029933800270417
56.0	19.83534881655447
57.0	19.720452554626128
58.0	18.417764775090017
59.0	17.82720170020899
60.0	18.292434324945724
61.0	17.30300418263896
62.0	16.38402652050284
63.0	16.235568296929355
64.0	15.957507474379296
65.0	16.285483010301842
66.0	17.327604073973664
67.0	17.488232828278058
68.0	17.203281101950715
69.0	17.110368951995223
70.0	16.990923751620944
71.0	17.25166898600573
72.0	18.580501572863096
73.0	20.290676101948076
74.0	22.155234810488324
75.0	22.79351266145894
76.0	22.148725247615037
77.0	21.17751187174707
78.0	21.274058019459293
79.0	22.698211363107347
80.0	22.654311908801326
81.0	20.949026935471085
82.0	20.57428706176044
83.0	20.45367734603787
84.0	19.182768425312467
85.0	18.469614678220225
86.0	16.458985415801088
87.0	16.395882153998564
88.0	14.898925441924609
89.0	12.576361752090031
90.0	11.515293765447035
91.0	10.468200747678296
92.0	8.11356337853992
93.0	5.058162367406416
94.0	3.712720074219395
95.0	2.393008586184641
96.0	1.3476689381976477
97.0	0.49367985736648273
98.0	0.11284414862138697
99.0	0.003416208009109888
